,population
SAN JOSE|ASERRI|ASERRI,19149
SAN JOSE|MONTES DE OCA|SAN RAFAEL,7146
CARTAGO|LA UNION|RINCON MESEN ESTE,1333
PUNTARENAS|PARRITA|PUEBLO NUEVO,1517
SAN JOSE|CENTRAL|PAVAS,14694
CONSULADO|CANADA|TORONTO,875
SAN JOSE|DESAMPARADOS|VALENCIA,5563
SAN JOSE|ESCAZU|SAN RAFAEL,9928
SAN JOSE|PURISCAL|SANTIAGO,8415
SAN JOSE|ALAJUELITA|SAN JOSECITO,8077
SAN JOSE|CENTRAL|MATA REDONDA,3663
SAN JOSE|CURRIDABAT|TIRRASES,4651
PUNTARENAS|CORREDORES|CANOAS,3050
HEREDIA|SANTO DOMINGO|SANTA ROSA,5511
PUNTARENAS|BUENOS AIRES|EL CEIBO,447
SAN JOSE|TARRAZU|SAN MARCOS,5155
GUANACASTE|NICOYA|BELEN DE NOSARITA,910
SAN JOSE|ALAJUELITA|ALAJUELITA,10322
SAN JOSE|GOICOECHEA|HLE. CARLOS MARIA ULLOA,168
SAN JOSE|ACOSTA|ESCUADRA,149
ALAJUELA|OROTINA|OROTINA,7336
SAN JOSE|ASERRI|SANTA TERESITA,2267
SAN JOSE|CENTRAL|HATILLO,16787
SAN JOSE|PEREZ ZELEDON|SAN ANTONIO,1055
LIMON|GUACIMO|GUACIMO,10655
SAN JOSE|MONTES DE OCA|SABANILLA,8451
SAN JOSE|MONTES DE OCA|LOURDES,11390
SAN JOSE|DOTA|SANTA MARIA,4006
SAN JOSE|SANTA ANA|POZOS,9390
CARTAGO|CENTRAL|GUADALUPE O ARENILLA,12087
SAN JOSE|MONTES DE OCA|HLE. MONTES DE OCA,65
PUNTARENAS|CORREDORES|CAMPO DOS Y MEDIO (PARTE SUR),158
PUNTARENAS|OSA|OJO DE AGUA,1529
SAN JOSE|PURISCAL|HLE. CORAZON DE JESUS,38
SAN JOSE|ASERRI|SALITRILLOS,4409
SAN JOSE|MONTES DE OCA|SAN PEDRO,9599
PUNTARENAS|COTO BRUS|LA LUCHA,847
CARTAGO|LA UNION|VILLAS DE AYARCO,4355
SAN JOSE|GOICOECHEA|CALLE BLANCOS Y SAN GABRIEL,11659
SAN JOSE|CENTRAL|URUCA,2801
LIMON|SIQUIRRES|EL PEJE,537
SAN JOSE|DESAMPARADOS|GUATUSO,3874
SAN JOSE|CENTRAL|SAN BOSCO,2717
ALAJUELA|CENTRAL|SAN RAFAEL OESTE,9580
CONSULADO|ESTADOS UNIDOS|LOS ANGELES,5232
SAN JOSE|CENTRAL|CRISTO REY,4339
SAN JOSE|DESAMPARADOS|HIGUITO,9760
LIMON|SIQUIRRES|EL CAIRO,4114
SAN JOSE|CENTRAL|ARANJUEZ,3830
SAN JOSE|PURISCAL|PEDERNAL O SAN PEDRO,705
CARTAGO|PARAISO|CACHI,3565
CARTAGO|CENTRAL|MANUEL DE JESUS JIMENEZ,4939
SAN JOSE|GOICOECHEA|PURRAL,10547
SAN JOSE|PEREZ ZELEDON|QUEBRADAS,1134
LIMON|CENTRAL|SANTA EDUVIGIS,2537
SAN JOSE|DESAMPARADOS|FATIMA DE DAMAS,2705
SAN JOSE|CENTRAL|OMAR DENGO,9183
SAN JOSE|CENTRAL|PASO ANCHO NORTE,6050
ALAJUELA|CENTRAL|EL COYOL,7079
ALAJUELA|CENTRAL|GARITA,3710
PUNTARENAS|QUEPOS|TIERRAS MORENAS,69
SAN JOSE|VAZQUEZ DE CORONADO|SAN ISIDRO,12313
CARTAGO|LA UNION|SAN RAMON,3567
SAN JOSE|TIBAS|SAN JUAN,15017
LIMON|POCOCI|LLANO BONITO,1667
PUNTARENAS|BUENOS AIRES|COLORADO,564
PUNTARENAS|MONTES DE ORO|SANTA ROSA,1379
SAN JOSE|CURRIDABAT|JOSE MARIA ZELEDON,5063
SAN JOSE|TARRAZU|SAN LORENZO,2339
ALAJUELA|CENTRAL|SAN JOSE,9842
SAN JOSE|ESCAZU|ESCAZU,12626
SAN JOSE|CENTRAL|HATILLO 8,15731
LIMON|POCOCI|CAMPO CINCO (SEMILLERO),3567
GUANACASTE|NANDAYURE|HLE. SAGRADO CORAZON DE JESUS,16
CONSULADO|COLOMBIA|BOGOTA,929
CARTAGO|OREAMUNO|POTRERO CERRADO,1010
SAN JOSE|CENTRAL|GONZALEZ VIQUEZ,6660
SAN JOSE|SANTA ANA|HONDURAS,1346
SAN JOSE|CURRIDABAT|CURRIDABAT,11653
CARTAGO|CENTRAL|CORRALILLO,1574
LIMON|POCOCI|JIMENEZ,4222
PUNTARENAS|CORREDORES|NEILY,6716
SAN JOSE|ASERRI|MONTERREY,586
PUNTARENAS|CENTRAL|LAGARTO SUR,747
PUNTARENAS|GARABITO|TARCOLES,1212
CARTAGO|LA UNION|SAN RAFAEL,5291
GUANACASTE|NICOYA|NICOYA,8540
SAN JOSE|PEREZ ZELEDON|ZAPOTE,303
SAN JOSE|ACOSTA|CEIBA ESTE,422
LIMON|CENTRAL|SAN JUAN,3026
GUANACASTE|TILARAN|TILARAN,7282
ALAJUELA|CENTRAL|INVU LOS RODRIGUEZ,7684
SAN JOSE|ACOSTA|CANGREJAL,495
ALAJUELA|CENTRAL|RIO SEGUNDO (SANTIAGO ESTE),4546
PUNTARENAS|CORREDORES|BELLA LUZ,1269
GUANACASTE|ABANGARES|HLE. SAN JORGE,19
SAN JOSE|LEON CORTES CASTRO|SAN ANTONIO,568
ALAJUELA|UPALA|BIJAGUA,2491
HEREDIA|CENTRAL|MERCEDES SUR,10962
HEREDIA|CENTRAL|BERNARDO BENAVIDES (INVU),4593
SAN JOSE|DESAMPARADOS|SAN MIGUEL,9226
SAN JOSE|CENTRAL|PERPETUO SOCORRO,4146
SAN JOSE|DESAMPARADOS|SAN JERONIMO,6556
SAN JOSE|PEREZ ZELEDON|LOS ANGELES DE LIGIA,4742
SAN JOSE|PEREZ ZELEDON|MERCEDES,1809
PUNTARENAS|BUENOS AIRES|BUENOS AIRES,7271
SAN JOSE|PEREZ ZELEDON|CEIBO ARRIBA,166
SAN JOSE|PURISCAL|GUARUMAL,192
SAN JOSE|CENTRAL|CORDOBA,5248
CARTAGO|CENTRAL|SAN FRANCISCO,8844
SAN JOSE|PEREZ ZELEDON|SAN PEDRO,1418
LIMON|SIQUIRRES|SAN MARTIN,8538
HEREDIA|SAN RAFAEL|CONCEPCION,3825
PUNTARENAS|BUENOS AIRES|SANTA CRUZ,3973
CARTAGO|LA UNION|SAN JUAN,3767
SAN JOSE|CURRIDABAT|GRANADILLA,10456
SAN JOSE|PEREZ ZELEDON|TIERRA PROMETIDA,836
HEREDIA|BELEN|SAN ANTONIO,8832
CARTAGO|EL GUARCO|EL TEJAR,11169
ALAJUELA|SAN CARLOS|SAN PEDRO DE LA TIGRA,1904
HEREDIA|CENTRAL|SAN FRANCISCO,15618
PUNTARENAS|PARRITA|PROYECTO LA LOMA ARRIBA,2405
ALAJUELA|SAN CARLOS|HLE. SAN VICENTE DE PAUL,46
PUNTARENAS|PARRITA|SARDINAL SUR,179
SAN JOSE|PEREZ ZELEDON|EL HOYON,1623
SAN JOSE|LEON CORTES CASTRO|LLANO BONITO (SAN RAFAEL ARRIBA),714
SAN JOSE|CENTRAL|PITAHAYA,1597
PUNTARENAS|QUEPOS|QUEPOS,4406
SAN JOSE|PEREZ ZELEDON|CARMEN O CAJON,2990
HEREDIA|BELEN|LA RIBERA,6772
SAN JOSE|PURISCAL|BARBACOAS (SAN ISIDRO),1401
HEREDIA|SANTO DOMINGO|SANTO DOMINGO,7609
SAN JOSE|PURISCAL|CANDELARITA,786
SAN JOSE|CENTRAL|COLONIA 15 DE SETIEMBRE,5138
SAN JOSE|SANTA ANA|SAN RAFAEL,1835
SAN JOSE|PEREZ ZELEDON|CHINA KICHA,324
SAN JOSE|PEREZ ZELEDON|PUEBLO NUEVO,837
SAN JOSE|VAZQUEZ DE CORONADO|SAN ANTONIO,17502
PUNTARENAS|CENTRAL|EL COCAL,1905
CARTAGO|CENTRAL|LA LIMA,3365
SAN JOSE|PEREZ ZELEDON|VILLA LIGIA,4148
SAN JOSE|MORAVIA|SAN JERONIMO,2508
SAN JOSE|ASERRI|POAS,5929
SAN JOSE|CENTRAL|NACIONES UNIDAS,1846
SAN JOSE|PEREZ ZELEDON|GENERAL VIEJO,1363
CARTAGO|JIMENEZ|ORIENTE,208
SAN JOSE|ALAJUELITA|TEJARCILLOS (JUAN RAFAEL MORA),4297
ALAJUELA|SAN RAMON|LA ESPERANZA,825
PUNTARENAS|OSA|PALMAR SUR,1658
SAN JOSE|VAZQUEZ DE CORONADO|CORAZON DE JESUS,3981
ALAJUELA|CENTRAL|CONCEPCION O EL LLANO,10671
CARTAGO|LA UNION|SAN DIEGO,7631
SAN JOSE|PEREZ ZELEDON|SAN PABLO,1128
HEREDIA|SANTO DOMINGO|SANTO TOMAS,4366
SAN JOSE|PEREZ ZELEDON|MORAZAN,1680
PUNTARENAS|CORREDORES|COLONIA LIBERTAD (KM 31),436
ALAJUELA|CENTRAL|EL CARMEN,5857
CARTAGO|CENTRAL|ORIENTAL,13239
SAN JOSE|PEREZ ZELEDON|SAN MIGUEL,264
HEREDIA|CENTRAL|LOS LAGOS,3906
SAN JOSE|ASERRI|SAN GABRIEL,3347
SAN JOSE|ACOSTA|LA CRUZ,407
LIMON|POCOCI|FLORES (UNION),672
SAN JOSE|PEREZ ZELEDON|SINAI,3704
ALAJUELA|POAS|CARRILLOS BAJO,4644
SAN JOSE|DESAMPARADOS|SAN RAFAEL ABAJO,11195
LIMON|POCOCI|SAN GERARDO,545
SAN JOSE|ASERRI|CEDRAL,285
LIMON|CENTRAL|PENSHURT,1051
HEREDIA|SAN ISIDRO|SAN FRANCISCO,1934
SAN JOSE|VAZQUEZ DE CORONADO|JESUS O DULCE NOMBRE,10390
SAN JOSE|TIBAS|CINCO ESQUINAS,7693
PUNTARENAS|COTO BRUS|AGUABUENA,2619
ALAJUELA|SARCHI|SARCHI SUR,4640
CARTAGO|LA UNION|TRES RIOS,11930
SAN JOSE|DESAMPARADOS|GRAVILIAS,7309
SAN JOSE|LEON CORTES CASTRO|SANTA CRUZ,877
SAN JOSE|PEREZ ZELEDON|INVU PEDRO PEREZ,1770
SAN JOSE|DESAMPARADOS|SAN JUAN DE DIOS,13651
PUNTARENAS|CENTRAL|ARANJUEZ,693
LIMON|GUACIMO|LAS COLINAS,163
SAN JOSE|DESAMPARADOS|PATARRA,3591
CARTAGO|TURRIALBA|TURRIALBA,4971
SAN JOSE|PURISCAL|POZOS,937
SAN JOSE|PEREZ ZELEDON|SAN CAYETANO (RIO NUEVO),262
PUNTARENAS|CENTRAL|EL ROBLE,7117
HEREDIA|SANTA BARBARA|SANTA BARBARA,7029
SAN JOSE|MORAVIA|HLE. CASA NAZARETH,28
SAN JOSE|PURISCAL|FLORALIA,353
CARTAGO|LA UNION|LINDA VISTA,3091
SAN JOSE|PEREZ ZELEDON|PEDREGOSO,1923
SAN JOSE|ACOSTA|SAN IGNACIO,4257
SAN JOSE|PEREZ ZELEDON|HLE. MONS.DELFIN QUESADA CASTRO,68
SAN JOSE|MONTES DE OCA|BETANIA,2732
SAN JOSE|GOICOECHEA|LOS ANGELES,6619
SAN JOSE|PURISCAL|SAN ANTONIO,3153
LIMON|POCOCI|RITA,5748
ALAJUELA|ATENAS|HLE. HORTENSIA RODRIGUEZ S.DE B,46
SAN JOSE|MONTES DE OCA|CEDROS,3698
SAN JOSE|PEREZ ZELEDON|QUIZARRA (PARTE ESTE),500
SAN JOSE|CENTRAL|SAGRADA FAMILIA,6492
PUNTARENAS|COTO BRUS|LA ISLA,649
SAN JOSE|PEREZ ZELEDON|SAN RAFAEL NORTE DE SAN ISIDRO,958
PUNTARENAS|CORREDORES|CARMEN (COLORADITO NORTE),1717
SAN JOSE|PEREZ ZELEDON|CHIMIROL,922
SAN JOSE|DESAMPARADOS|CALLE FALLAS,14521
ALAJUELA|SAN CARLOS|ABUNDANCIA,1237
SAN JOSE|PEREZ ZELEDON|SANTA ELENA,728
SAN JOSE|ALAJUELITA|AURORA,9600
SAN JOSE|PEREZ ZELEDON|SANTA TERESA,781
GUANACASTE|LIBERIA|HLE. LIBERIA,26
CONSULADO|HONDURAS|TEGUCIGALPA,310
ALAJUELA|SAN RAMON|SAN RAFAEL,4121
GUANACASTE|NANDAYURE|SAN FRANCISCO DE COYOTE,509
SAN JOSE|VAZQUEZ DE CORONADO|CASCAJAL,853
ALAJUELA|OROTINA|COYOLAR,2104
CARTAGO|LA UNION|SANTIAGO DEL MONTE,6251
CONSULADO|ESPAÑA|MADRID,1450
SAN JOSE|VAZQUEZ DE CORONADO|SAN PEDRO,4873
CONSULADO|REINO UNIDO|LONDRES,565
ALAJUELA|CENTRAL|ALAJUELA,5784
CARTAGO|JIMENEZ|JUAN VIÑAS,2916
SAN JOSE|PURISCAL|CARIT,784
SAN JOSE|ASERRI|ALTO AGUACATE,105
LIMON|POCOCI|CARIARI (CAMPO KENNEDY),8816
PUNTARENAS|BUENOS AIRES|VOLCAN,1332
SAN JOSE|TURRUBARES|EL BARRO,638
CONSULADO|ESTADOS UNIDOS|NUEVA YORK,14230
SAN JOSE|ESCAZU|BELO HORIZONTE NORTE,4450
SAN JOSE|ASERRI|HLE. SAN FRANCISCO DE ASIS,23
SAN JOSE|PEREZ ZELEDON|LA REPUNTA,2517
ALAJUELA|SAN CARLOS|EL CONCHO,344
SAN JOSE|TIBAS|COLIMA,4268
LIMON|POCOCI|SUERRE,1552
LIMON|POCOCI|SECTOR 8 (SAN GERARDO),1640
SAN JOSE|TARRAZU|HLE. LOS SANTOS,54
CARTAGO|JIMENEZ|PEJIBAYE,2151
SAN JOSE|PEREZ ZELEDON|LA ESE,350
SAN JOSE|PEREZ ZELEDON|SAN RAMON NORTE,547
LIMON|CENTRAL|LIMON,6321
SAN JOSE|VAZQUEZ DE CORONADO|LAS NUBES,1024
HEREDIA|SANTA BARBARA|SAN BOSCO,2318
LIMON|POCOCI|PORVENIR,750
SAN JOSE|CURRIDABAT|SANCHEZ,5566
SAN JOSE|PEREZ ZELEDON|SANTIAGO,724
SAN JOSE|LEON CORTES CASTRO|SAN FRANCISCO,261
SAN JOSE|DESAMPARADOS|EL LLANO,3545
SAN JOSE|PEREZ ZELEDON|SAGRADA FAMILIA,2976
PUNTARENAS|GARABITO|JACO,4653
PUNTARENAS|GARABITO|POCHOTAL,258
PUNTARENAS|GOLFITO|CONTE DE PAVON,921
SAN JOSE|ASERRI|LAGUNA (BAJO BIJAGUAL),208
LIMON|POCOCI|HLE. CARIARI,66
LIMON|CENTRAL|LA COLINA,6928
PUNTARENAS|CENTRAL|LEPANTO,873
ALAJUELA|ATENAS|ATENAS,4813
SAN JOSE|PURISCAL|PIEDADES,904
SAN JOSE|PEREZ ZELEDON|SAN GABRIEL,337
SAN JOSE|TARRAZU|GUADALUPE,1191
PUNTARENAS|COTO BRUS|LIMONCITO DEL OESTE,195
SAN JOSE|ACOSTA|CHIRRACA (PARTE ESTE),1013
PUNTARENAS|BUENOS AIRES|LA LUCHA,431
SAN JOSE|ACOSTA|SABANILLAS,718
HEREDIA|SAN ISIDRO|HLE. SEÑORA DE LOS ANGELES,66
SAN JOSE|ALAJUELITA|CONCEPCION ARRIBA,4603
LIMON|CENTRAL|SAN ANDRES,1875
HEREDIA|SARAPIQUI|COLONIA VICTORIA,2589
SAN JOSE|ASERRI|JOCOTAL ABAJO,218
ALAJUELA|CENTRAL|TUETAL NORTE (PARTE),2944
CARTAGO|OREAMUNO|SAN RAFAEL,12930
PUNTARENAS|CORREDORES|HLE. NEILY,33
ALAJUELA|SAN CARLOS|AGUAS ZARCAS,8533
PUNTARENAS|COTO BRUS|SAN RAFAEL DE LIMONCITO,383
SAN JOSE|MORA|PIEDRAS BLANCAS,607
ALAJUELA|CENTRAL|EL ARROYO,1890
SAN JOSE|TIBAS|LEON XIII,8027
SAN JOSE|PURISCAL|CERBATANA,1480
SAN JOSE|CENTRAL|PEREGRINA,3473
LIMON|TALAMANCA|HOME CREEK,2600
ALAJUELA|GRECIA|TACARES,2700
CARTAGO|TURRIALBA|SANTA ROSA,2236
SAN JOSE|MORA|MORADO,716
SAN JOSE|CENTRAL|HOSPITAL,1654
GUANACASTE|NICOYA|CAIMITAL,919
HEREDIA|SANTO DOMINGO|SAN VICENTE,5019
SAN JOSE|DOTA|SAN GERARDO,128
PUNTARENAS|CORREDORES|LAUREL,2592
HEREDIA|CENTRAL|BARREAL (SAN JOSE),7470
SAN JOSE|PURISCAL|SANTA CECILIA,687
ALAJUELA|CENTRAL|DULCE NOMBRE O LAS ANIMAS,1610
PUNTARENAS|QUEPOS|VILLANUEVA,611
PUNTARENAS|OSA|SINAI,93
SAN JOSE|MORA|CORROGRES (LA FILA EL CARMEN),1444
SAN JOSE|ALAJUELITA|SAN FELIPE,5874
HEREDIA|SAN RAFAEL|SAN JOSECITO,8179
ALAJUELA|CENTRAL|TURRUCARES,4066
LIMON|POCOCI|ANITA GRANDE,1156
LIMON|POCOCI|PROGRESO,3626
SAN JOSE|MORA|CORRALAR,362
SAN JOSE|ACOSTA|TABLAZO,1126
SAN JOSE|PEREZ ZELEDON|RIVAS,1383
ALAJUELA|SAN CARLOS|SANTA ROSA DE POCOSOL,5025
PUNTARENAS|COTO BRUS|PALMIRA,381
SAN JOSE|CENTRAL|CORAZON DE JESUS,939
CONSULADO|EL SALVADOR|SAN SALVADOR,381
LIMON|MATINA|CUBA CREEK (RIO CUBA),2950
GUANACASTE|TILARAN|TRONADORA,1227
HEREDIA|SARAPIQUI|FINCA CINCO (CHIRRIPO),545
SAN JOSE|GOICOECHEA|IPIS ABAJO,5709
SAN JOSE|MORA|BAJO DE JORCO (PARTE OESTE),78
PUNTARENAS|OSA|GUARIA,328
SAN JOSE|DOTA|COPEY,568
SAN JOSE|GOICOECHEA|VISTA DE MAR,2604
HEREDIA|BARVA|SANTA LUCIA,5971
SAN JOSE|TURRUBARES|BIJAGUAL,438
PUNTARENAS|QUEPOS|NARANJITO,1125
HEREDIA|SAN PABLO|SAN PABLO,17510
SAN JOSE|TIBAS|CUATRO REINAS,6389
CARTAGO|TURRIALBA|SANTA TERESITA (LAJAS),1259
SAN JOSE|PEREZ ZELEDON|COOPERATIVA,3019
SAN JOSE|PEREZ ZELEDON|TAMBOR,479
PUNTARENAS|PARRITA|LOS ANGELES,896
ALAJUELA|CENTRAL|SAN MARTIN,2468
HEREDIA|FLORES|SAN LORENZO,3069
SAN JOSE|PEREZ ZELEDON|PALMARES,3662
HEREDIA|SANTA BARBARA|BIRRI,3592
SAN JOSE|PEREZ ZELEDON|PACUARITO,323
SAN JOSE|PURISCAL|MERCEDES SUR,590
SAN JOSE|SANTA ANA|SALITRAL,2834
ALAJUELA|GRECIA|HLE. JAFETH JIMENEZ MORALES,89
HEREDIA|BARVA|SAN JOSE DE LA MONTAÑA,3724
ALAJUELA|SAN CARLOS|COOPEVEGA,664
PUNTARENAS|CENTRAL|BARRANCA,10185
SAN JOSE|PEREZ ZELEDON|EL LLANO,138
SAN JOSE|MORA|RODEO,356
GUANACASTE|SANTA CRUZ|ARADO,1456
ALAJUELA|NARANJO|NARANJO,8130
SAN JOSE|ACOSTA|OCOCA,807
ALAJUELA|CENTRAL|CANOAS,10220
SAN JOSE|SANTA ANA|LAGOS DE LINDORA,1601
PUNTARENAS|OSA|PALMAR NORTE,3258
SAN JOSE|PEREZ ZELEDON|SAN RAMON SUR,1603
SAN JOSE|PEREZ ZELEDON|DANIEL FLORES,1190
PUNTARENAS|CENTRAL|SAN RAMON DE RIO BLANCO,70
HEREDIA|SANTA BARBARA|SAN JUAN ABAJO,5698
SAN JOSE|PEREZ ZELEDON|BAIDAMBU,2154
HEREDIA|SAN RAFAEL|SAN RAFAEL,9786
SAN JOSE|LEON CORTES CASTRO|SAN ANDRES,815
PUNTARENAS|CENTRAL|CARMEN LIRA,449
SAN JOSE|PURISCAL|GAMALOTILLO,284
SAN JOSE|PEREZ ZELEDON|VALENCIA,184
SAN JOSE|PEREZ ZELEDON|MOLLEJONES,940
SAN JOSE|PEREZ ZELEDON|COCORI,2662
SAN JOSE|PURISCAL|LA GLORIA,667
SAN JOSE|ACOSTA|GUAITIL,632
ALAJUELA|CENTRAL|CACIQUE,2326
CARTAGO|EL GUARCO|CAÑON (PARTE NORTE),933
SAN JOSE|PEREZ ZELEDON|PEJIBAYE,1466
PUNTARENAS|COTO BRUS|SAN VITO,3281
SAN JOSE|CURRIDABAT|LA LIA O INMACULADA,3881
SAN JOSE|DESAMPARADOS|MANZANO (MANZANILLO),181
PUNTARENAS|OSA|OLLA CERO O SANTA EDUVIGIS,376
PUNTARENAS|PARRITA|PORVENIR O LAS VEGAS,418
SAN JOSE|DESAMPARADOS|LOS GUIDO,13914
PUNTARENAS|COTO BRUS|SAN GERARDO,122
SAN JOSE|PEREZ ZELEDON|LA HERMOSA,616
SAN JOSE|PEREZ ZELEDON|BUENA VISTA,340
SAN JOSE|CURRIDABAT|HLE. CURRIDABAT,32
CARTAGO|CENTRAL|OCCIDENTAL,9373
SAN JOSE|ESCAZU|GUACHIPELIN (SAN GABRIEL),6808
SAN JOSE|DESAMPARADOS|FRAILES,1952
GUANACASTE|ABANGARES|LA CONCHA (CONCEPCION),212
PUNTARENAS|MONTES DE ORO|MIRAMAR,4950
SAN JOSE|PEREZ ZELEDON|CANDELARIA O ANGOSTURA,728
SAN JOSE|MORA|PIEDRAS NEGRAS,277
LIMON|TALAMANCA|SIXAOLA,1609
CARTAGO|LA UNION|SALITRILLO,791
LIMON|CENTRAL|PUEBLO NUEVO O JAMAICA,4687
CONSULADO|ESTADOS UNIDOS|MIAMI,5536
LIMON|POCOCI|BELLA VISTA,800
SAN JOSE|ASERRI|LEGUA,604
PUNTARENAS|CENTRAL|CONCEPCION,161
ALAJUELA|PALMARES|BUENOS AIRES,5607
SAN JOSE|PEREZ ZELEDON|SANTA LUCIA (SANTA LUISA),228
SAN JOSE|TURRUBARES|SAN FRANCISCO,213
PUNTARENAS|BUENOS AIRES|CONVENTO,603
SAN JOSE|ASERRI|VUELTA DE JORCO,3561
SAN JOSE|PURISCAL|GRIFO BAJO,148
PUNTARENAS|QUEPOS|HLE. QUEPOS,24
SAN JOSE|MORA|GUAYABO,1999
CARTAGO|LA UNION|SAN FRANCISCO,2026
LIMON|CENTRAL|BEVERLEY,1458
HEREDIA|BARVA|BARVA,6041
SAN JOSE|PEREZ ZELEDON|PAVONES,1528
ALAJUELA|SAN RAMON|SAN RAMON,11772
PUNTARENAS|GARABITO|QUEBRADA GANADO,2096
ALAJUELA|SAN CARLOS|SANTO DOMINGO,1712
SAN JOSE|PURISCAL|CORTEZAL,418
LIMON|POCOCI|SAN MARTIN,1408
SAN JOSE|TARRAZU|RODEO NORTE,1248
LIMON|POCOCI|CAMPO DOS,978
PUNTARENAS|GOLFITO|LA PALMA O INDEPENDENCIA,2141
LIMON|CENTRAL|CRISTOBAL COLON,4381
ALAJUELA|CENTRAL|CINCO ESQUINAS,1012
ALAJUELA|CENTRAL|VILLA HELIA (FINCA HELIA),989
HEREDIA|SAN ISIDRO|CONCEPCION,1559
ALAJUELA|OROTINA|NUEVA SANTA RITA,2054
CONSULADO|GUATEMALA|GUATEMALA,605
HEREDIA|SANTA BARBARA|JESUS,2984
PUNTARENAS|PARRITA|SAN ISIDRO DE PLAYON,184
SAN JOSE|ACOSTA|ZONCUANO,103
LIMON|POCOCI|ROXANA,4357
GUANACASTE|CARRILLO|PANAMA O CACIQUE,493
